,ANIO,PROVINCIA,Hidroelectrica,Termica,Eolica,Fotovoltaica,Nuclear,Total
902,2007,LEON,866792,4546424,311500,6172,0,5730888
903,2007,PALENCIA,147496,1093020,696360,11940,0,1948816
904,2007,SALAMANCA,5230080,57434,137900,35820,0,5461234
905,2007,SEGOVIA,21630,50640,109040,4382,0,185692
906,2007,SORIA,38944,147932,1235360,18376,0,1440612
907,2007,VALLADOLID,52006,256306,176250,36670,0,521232
908,2007,ZAMORA,1793156,27920,680220,34534,0,2535830
909,2007,ALBACETE,86393,51310,1680640,63881,0,1882224
910,2007,CIUDAD REAL,1556,1343100,404000,26294,0,1774950
911,2007,CUENCA,319876,122858,1396200,96974,0,1935908
912,2007,GUADALAJARA,610286,64036,917260,8334,2452000,4051916
913,2007,TOLEDO,551300,2966920,167014,66176,0,3751410
914,2007,BARCELONA,121305,3231151,91730,12125,0,3456311
915,2007,GIRONA,306874,226824,1180,5484,0,540362
916,2007,LLEIDA,3849550,541272,180000,26060,0,4596882
917,2007,TARRAGONA,664104,4045494,414850,20918,6293600,11438966
918,2007,CEUTA,0,78840,0,0,0,78840
919,2007,BADAJOZ,246178,12244,0,20523,0,278945
920,2007,CACERES,3852208,1040,0,78310,3914000,7845558
921,2007,LA CORUÑA,830712,8610294,2166910,640,0,11608556
922,2007,LUGO,983628,62500,2363180,2078,0,3411386
923,2007,ORENSE,4211426,55420,607980,562,0,4875388
924,2007,PONTEVEDRA,262160,140972,690020,2272,0,1095424
925,2007,LA RIOJA,92290,1562992,876360,16118,0,2547760
926,2007,MADRID,197606,479952,0,25730,0,703288
927,2007,MELILLA,0,154800,0,20,0,154820
928,2007,MURCIA,78438,8010072,289978,138104,0,8516592
929,2007,NAVARRA,313040,2659152,1879820,123168,0,4975180
930,2007,ALAVA,41277,87395,109250,3025,0,240947
931,2007,GUIPUZCOA,48186,681018,76000,4122,0,809326
932,2007,VIZCAYA,185416,6451962,160000,4362,0,6801740
933,2007,ALICANTE,20980,61841,0,46299,0,129120
934,2007,CASTELLON,98904,6089744,977600,16820,0,7183068
935,2007,VALENCIA,2645104,2792190,40980,45972,2190000,7714246
936,2008,ALMERIA,368,1179960,293150,57575,0,1531053
937,2008,CADIZ,28188,10469422,1923484,88914,0,12510008
938,2008,CORDOBA,133112,899664,0,298780,0,1331556
939,2008,GRANADA,167066,239040,670600,251282,0,1327988
940,2008,HUELVA,0,4159514,139700,81518,0,4380732
941,2008,JAEN,365906,300968,60720,131786,0,859380
942,2008,MALAGA,964558,129238,278300,63348,0,1435444
943,2008,SEVILLA,552378,197606,177860,292610,0,1220454
944,2008,HUESCA,2216422,303710,486300,29408,0,3035840
945,2008,TERUEL,52548,4222856,322360,67140,0,4664904
946,2008,ZARAGOZA,803984,2836136,2531950,140254,0,6312324
947,2008,ASTURIAS,1534034,6438714,1067200,1072,0,9041020
948,2008,BALEARES,0,2008860,6676,51513,0,2067049
949,2008,LAS PALMAS,0,3084780,274614,55734,0,3415128
950,2008,S.C.TENERIFE,1600,2212950,137626,132934,0,2485110
951,2008,CANTABRIA,853800,421128,35700,3462,0,1314090
952,2008,AVILA,75161,0,132130,47347,0,254638
953,2008,BURGOS,41549,194980,1105133,18404,466000,1826066
954,2008,LEON,867072,4543504,394700,35104,0,5840380
955,2008,PALENCIA,146766,1092380,759160,46462,0,2044768
956,2008,SALAMANCA,5230040,57434,137900,96352,0,5521726
957,2008,SEGOVIA,21630,50640,109040,43184,0,224494
958,2008,SORIA,38944,147484,1298260,37114,0,1521802
959,2008,VALLADOLID,51836,258286,176250,155254,0,641626
960,2008,ZAMORA,1793156,27920,873820,129084,0,2823980
961,2008,ALBACETE,86393,50210,1867067,274428,0,2278098
962,2008,CIUDAD REAL,1556,1343540,404000,359592,0,2108688
963,2008,CUENCA,319876,128498,1508200,398508,0,2355082
964,2008,GUADALAJARA,610286,64036,1206460,44448,2452000,4377230
965,2008,TOLEDO,551300,2965356,167014,296080,0,3979750
966,2008,BARCELONA,123023,2761993,91730,50379,0,3027125
967,2008,GIRONA,306094,187424,1180,35706,0,530404
968,2008,LLEIDA,3849394,424246,268000,149510,0,4691150
969,2008,TARRAGONA,664104,5006794,438800,60208,6293600,12463506
970,2008,CEUTA,0,78840,0,0,0,78840
971,2008,BADAJOZ,246178,13429,0,255855,0,515462
972,2008,CACERES,3852208,0,0,321366,3914000,8087574
973,2008,LA CORUÑA,913220,8581014,2319230,3158,0,11816622
974,2008,LUGO,988028,62500,2702280,5204,0,3758012
975,2008,ORENSE,4230426,55420,542880,2678,0,4831404
976,2008,PONTEVEDRA,337714,150476,842944,6836,0,1337970
977,2008,LA RIOJA,92290,1565498,896360,161692,0,2715840
978,2008,MADRID,197606,451172,0,48224,0,697002
979,2008,MELILLA,0,168800,0,220,0,169020
980,2008,MURCIA,78438,7997992,295372,597866,0,8969668
981,2008,NAVARRA,314564,2663534,1937654,252850,0,5168602
982,2008,ALAVA,41277,87395,109250,9337,0,247259
983,2008,GUIPUZCOA,47596,780186,76000,8020,0,911802
984,2008,VIZCAYA,185416,6452066,177000,6666,0,6821148
985,2008,ALICANTE,2326,61641,0,111979,0,175946
986,2008,CASTELLON,98904,6108146,1117600,77282,0,7401932
987,2008,VALENCIA,2645104,2771642,246180,181980,2190000,8034906
988,2009,ALMERIA,368,1179960,496400,57949,0,1734677
989,2009,CADIZ,33944,10460742,3431428,99834,0,14025948
990,2009,CORDOBA,134472,905864,0,508310,0,1548646
991,2009,GRANADA,367266,238840,938200,157054,0,1701360
992,2009,HUELVA,10000,4470594,139700,103410,0,4723704
993,2009,JAEN,365882,350948,60360,133466,0,910656
994,2009,MALAGA,973590,1011238,863600,80708,0,2929136
995,2009,SEVILLA,607770,197606,384620,321858,0,1511854
996,2009,HUESCA,2225380,307850,613970,28752,0,3175952
997,2009,TERUEL,52848,4192968,471820,91114,0,4808750
998,2009,ZARAGOZA,796908,2823576,4089950,174002,0,7884436
999,2009,ASTURIAS,1547320,6479590,1235200,1086,0,9263196
1000,2009,BALEARES,0,2187018,10352,52458,0,2249828
1001,2009,LAS PALMAS,0,3087780,164780,58748,0,3311308
1002,2009,S.C.TENERIFE,1600,2282930,68758,133938,0,2487226
1003,2009,CANTABRIA,900256,410060,53908,3586,0,1367810
1004,2009,AVILA,81331,0,202220,47263,0,330814
1005,2009,BURGOS,41559,193780,1444036,18966,466000,2164341
1006,2009,LEON,895128,4586224,580500,35272,0,6097124
1007,2009,PALENCIA,146806,1092380,1118760,42870,0,2400816
1008,2009,SALAMANCA,5027564,57434,161280,98684,0,5344962
1009,2009,SEGOVIA,23250,76110,165040,43184,0,307584
1010,2009,SORIA,39704,172660,2380440,37114,0,2629918
1011,2009,VALLADOLID,51836,232956,352500,140832,0,778124
1012,2009,ZAMORA,1782996,51920,1617080,129330,0,3581326
1013,2009,ALBACETE,85628,50230,2374607,274428,0,2784893
1014,2009,CIUDAD REAL,101556,1364926,636000,338420,0,2440902
1015,2009,CUENCA,321186,126360,1877800,399344,0,2724690
1016,2009,GUADALAJARA,624238,62028,1790436,45256,2452000,4973958
1017,2009,TOLEDO,559340,2356592,214928,298412,0,3429272
1018,2009,BARCELONA,121952,2750057,257460,52687,0,3182156
